body,fake,source
"Toyota, China’s CATL in partnership for new energy vehicle batteries<img width=""342"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T060415Z_1_LYNXNPEF6G0BR_RTROPTP_0_CHINA-AUTOS-HYBRID_1-342x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T060415Z_1_LYNXNPEF6G0BR_RTROPTP_0_CHINA-AUTOS-HYBRID_1-342x210.jpg 342w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T060415Z_1_LYNXNPEF6G0BR_RTROPTP_0_CHINA-AUTOS-HYBRID_1-768x471.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T060415Z_1_LYNXNPEF6G0BR_RTROPTP_0_CHINA-AUTOS-HYBRID_1-713x437.jpg 713w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T060415Z_1_LYNXNPEF6G0BR_RTROPTP_0_CHINA-AUTOS-HYBRID_1.jpg 799w"" sizes=""(max-width: 342px) 100vw, 342px"" />TOKYO (Reuters) - Toyota Motor Corp  has agreed to partner with China's Contemporary Amperex Technology Co Ltd (CATL)  to supply and develop batteries for new energy vehicles. ",1,OANN
"Ericsson says on track for 2020 targets as second-quarter profit matches forecasts<img width=""330"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T054939Z_1_LYNXNPEF6G0B7_RTROPTP_0_ERICSSON-RESULTS_1-330x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T054939Z_1_LYNXNPEF6G0B7_RTROPTP_0_ERICSSON-RESULTS_1-330x210.jpg 330w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T054939Z_1_LYNXNPEF6G0B7_RTROPTP_0_ERICSSON-RESULTS_1-768x489.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T054939Z_1_LYNXNPEF6G0B7_RTROPTP_0_ERICSSON-RESULTS_1-687x437.jpg 687w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T054939Z_1_LYNXNPEF6G0B7_RTROPTP_0_ERICSSON-RESULTS_1.jpg 800w"" sizes=""(max-width: 330px) 100vw, 330px"" />STOCKHOLM (Reuters) - Mobile network gear maker Ericsson  posted a second-quarter profit in line with expectations on Wednesday and said it was on track to meet its financial goals due to",1,OANN
"UK’s Johnson planning summer 2020 election: Times<img width=""343"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064817Z_1_LYNXNPEF6G0FQ_RTROPTP_0_BRITAIN-EU-LEADER-DEBATE_1-343x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064817Z_1_LYNXNPEF6G0FQ_RTROPTP_0_BRITAIN-EU-LEADER-DEBATE_1-343x210.jpg 343w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064817Z_1_LYNXNPEF6G0FQ_RTROPTP_0_BRITAIN-EU-LEADER-DEBATE_1-768x470.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064817Z_1_LYNXNPEF6G0FQ_RTROPTP_0_BRITAIN-EU-LEADER-DEBATE_1-713x437.jpg 713w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064817Z_1_LYNXNPEF6G0FQ_RTROPTP_0_BRITAIN-EU-LEADER-DEBATE_1.jpg 800w"" sizes=""(max-width: 343px) 100vw, 343px"" />LONDON (Reuters) - Boris Johnson's team wants to hold a national election in the summer of 2020 and has started raising funds to hire more staff and prepare the Conservative Party for the contest, the",1,OANN
"Suu Kyi’s bid to reform charter sparks rival protests in Myanmar<img width=""267"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064219Z_1_LYNXNPEF6G0F8_RTROPTP_0_ASEAN-SUMMIT_1-267x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064219Z_1_LYNXNPEF6G0F8_RTROPTP_0_ASEAN-SUMMIT_1-267x210.jpg 267w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064219Z_1_LYNXNPEF6G0F8_RTROPTP_0_ASEAN-SUMMIT_1-768x604.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064219Z_1_LYNXNPEF6G0F8_RTROPTP_0_ASEAN-SUMMIT_1-556x437.jpg 556w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T064219Z_1_LYNXNPEF6G0F8_RTROPTP_0_ASEAN-SUMMIT_1.jpg 799w"" sizes=""(max-width: 267px) 100vw, 267px"" />By Thu Thu Aung and Zaw Naing Oo YANGON (Reuters) - Hundreds of people demonstrated in Myanmar's largest city, Yangon, on Wednesday in support of proposed constitutional amendments that would reduce",1,OANN
"Renault forms Chinese electric vehicles venture with Jiangling Motors<img width=""331"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063430Z_1_LYNXNPEF6G0EM_RTROPTP_0_RENAULT-SHAREHOLDERS_1-331x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063430Z_1_LYNXNPEF6G0EM_RTROPTP_0_RENAULT-SHAREHOLDERS_1-331x210.jpg 331w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063430Z_1_LYNXNPEF6G0EM_RTROPTP_0_RENAULT-SHAREHOLDERS_1-768x487.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063430Z_1_LYNXNPEF6G0EM_RTROPTP_0_RENAULT-SHAREHOLDERS_1-690x437.jpg 690w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063430Z_1_LYNXNPEF6G0EM_RTROPTP_0_RENAULT-SHAREHOLDERS_1.jpg 800w"" sizes=""(max-width: 331px) 100vw, 331px"" />PARIS (Reuters) - Renault  has formed a joint venture partnership with Jiangling Motors Corporation Group (JMCG) to target the Chinese electric vehicles (EV) market, in a deal which will also",1,OANN
"Nissan, Volvo and FCA lead European sales decline<img width=""315"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063001Z_1_LYNXNPEF6G0E8_RTROPTP_0_NISSAN-SHAREHOLDERS_1-315x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063001Z_1_LYNXNPEF6G0E8_RTROPTP_0_NISSAN-SHAREHOLDERS_1-315x210.jpg 315w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063001Z_1_LYNXNPEF6G0E8_RTROPTP_0_NISSAN-SHAREHOLDERS_1-768x512.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063001Z_1_LYNXNPEF6G0E8_RTROPTP_0_NISSAN-SHAREHOLDERS_1-656x437.jpg 656w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T063001Z_1_LYNXNPEF6G0E8_RTROPTP_0_NISSAN-SHAREHOLDERS_1.jpg 800w"" sizes=""(max-width: 315px) 100vw, 315px"" />PARIS (Reuters) - European car sales dropped 7.9% in June, led by bigger declines for Nissan , Volvo and Fiat Chrysler (FCA) , according to industry data published on Wednesday. ",1,OANN
"How lithium-rich Chile botched a plan to attract battery makers<img width=""315"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T051151Z_1_LYNXNPEF6G091_RTROPTP_0_CHILE-TIANQI-LITHIUM_1-315x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T051151Z_1_LYNXNPEF6G091_RTROPTP_0_CHILE-TIANQI-LITHIUM_1-315x210.jpg 315w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T051151Z_1_LYNXNPEF6G091_RTROPTP_0_CHILE-TIANQI-LITHIUM_1-768x512.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T051151Z_1_LYNXNPEF6G091_RTROPTP_0_CHILE-TIANQI-LITHIUM_1-655x437.jpg 655w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T051151Z_1_LYNXNPEF6G091_RTROPTP_0_CHILE-TIANQI-LITHIUM_1.jpg 799w"" sizes=""(max-width: 315px) 100vw, 315px"" />By Dave Sherwood SANTIAGO (Reuters) - In March 2018, the Chilean government unveiled big news: Corporate investors, including South Korean electronics giant Samsung, would build three factories in",1,OANN
"Making sense of chaos? Algos scour social media for clues to crypto moves<img width=""315"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T061918Z_2_LYNXNPEF6G0CR_RTROPTP_0_CRYPTO-CURRENCIES-ALGOS_1-315x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T061918Z_2_LYNXNPEF6G0CR_RTROPTP_0_CRYPTO-CURRENCIES-ALGOS_1-315x210.jpg 315w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T061918Z_2_LYNXNPEF6G0CR_RTROPTP_0_CRYPTO-CURRENCIES-ALGOS_1-768x512.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T061918Z_2_LYNXNPEF6G0CR_RTROPTP_0_CRYPTO-CURRENCIES-ALGOS_1-656x437.jpg 656w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T061918Z_2_LYNXNPEF6G0CR_RTROPTP_0_CRYPTO-CURRENCIES-ALGOS_1.jpg 800w"" sizes=""(max-width: 315px) 100vw, 315px"" />By Tom Wilson and Simon Jessop LONDON (Reuters) - After months of relative calm in cryptocurrency markets, bitcoin exploded back into life in April with its sharpest price jump in over a year - but",1,OANN
"Bulgaria detains suspect in cyber attack on its tax agency<img width=""315"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T055435Z_1_LYNXNPEF6G0BD_RTROPTP_0_BULGARIA-CYBERSECURITY_1-315x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T055435Z_1_LYNXNPEF6G0BD_RTROPTP_0_BULGARIA-CYBERSECURITY_1-315x210.jpg 315w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T055435Z_1_LYNXNPEF6G0BD_RTROPTP_0_BULGARIA-CYBERSECURITY_1-768x512.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T055435Z_1_LYNXNPEF6G0BD_RTROPTP_0_BULGARIA-CYBERSECURITY_1-655x437.jpg 655w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T055435Z_1_LYNXNPEF6G0BD_RTROPTP_0_BULGARIA-CYBERSECURITY_1.jpg 799w"" sizes=""(max-width: 315px) 100vw, 315px"" />SOFIA (Reuters) - Bulgarian police have detained a suspect in a hacking attack on the Balkan country's National Revenue Agency that led to the leak of personal and financial data of millions of people",1,OANN
"Renault forms China electric vehicle venture with JMCG<img width=""314"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T062625Z_1_LYNXNPEF6G0E5_RTROPTP_0_RENAULT-SHAREHOLDERS_1-314x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T062625Z_1_LYNXNPEF6G0E5_RTROPTP_0_RENAULT-SHAREHOLDERS_1-314x210.jpg 314w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T062625Z_1_LYNXNPEF6G0E5_RTROPTP_0_RENAULT-SHAREHOLDERS_1-768x514.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T062625Z_1_LYNXNPEF6G0E5_RTROPTP_0_RENAULT-SHAREHOLDERS_1-653x437.jpg 653w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-17T062625Z_1_LYNXNPEF6G0E5_RTROPTP_0_RENAULT-SHAREHOLDERS_1.jpg 799w"" sizes=""(max-width: 314px) 100vw, 314px"" />BEIJING (Reuters) - France's Renault SA said on Wednesday it will invest $145 million in a unit of China's Jiangling Motors Corporation Group (JMCG) that will allow it to expand its electric vehicle",1,OANN
