body,fake,source
,,
Adani could soon be on Amazon and Google's speed dialAdani could soon be on Amazon and Google's speed dialAdani expects to invest Rs 700 billion to build data parks in India over the next two decades. ,0,Economic Times
,,
"From MF to office, Anil Ambani is selling it allFrom MF to office, Anil Ambani is selling it allAsset sales would help Ambani bolster the financial health of his group’s companies.",0,Economic Times
,,
"Rajiv Bajaj is not buying into Modi's EV planRajiv Bajaj is not buying into Modi's EV plan""You can't take 1% of something and say that this is good enough to make it 100%,"" Bajaj said. ",0,Economic Times
,,
"Deutsche Bank finally issues a clarificationDeutsche Bank finally issues a clarificationThe bank’s move to “resize” debt trading ops won’t lead to dismissals,  fixed-income head Ram Nayak said.",0,Economic Times
,,
"TCS creating tens of thousands of jobs in USTCS creating tens of thousands of jobs in USTCS made a net addition of 12,356 employees in the June quarter, taking total headcount to 4.36 lakh people. ",0,Economic Times
,,
"Fight is for greater good: IndiGo co-founderFight is for greater good: IndiGo co-founderRakesh Gangwal, IndiGo cofounder, is determined to root out poor corporate governance at InterGlobe Aviation. ",0,Economic Times
,,
Flipkart shrinks to stay in retail shapeFlipkart shrinks to stay in retail shapeFlipkart asks suppliers to route goods directly to preferred sellers on its platform and wholesale sellers.,0,Economic Times
,,
Esops may become less taxing for youEsops may become less taxing for youFinMin plans to review the entire framework to make the compensation tool attractive for employees.,0,Economic Times
,,
"L&T, HSL in race for Rs 45000 cr submarine planL&T, HSL in race for Rs 45000 cr submarine planThe P75 I project, which will be under the Strategic Partnership model that involves an Indian company absorbing technology and building six submarines, is likely to see strong competition between Russia, Germany and France.",0,Economic Times
,,
"The differing worldviews of Modi & his criticsThe differing worldviews of Modi & his criticsIf the economy doesn’t appreciably improve, will Modi change his approach? That’s the $5 trillion question.",0,Economic Times
,,
HSBC turns bullish on long-term India bonds post BudgetIndia’s five-year yield has fallen about 18 basis points since July 4.,0,Economic Times
,,
Are we heading for more pain in auto stocks? Q1 projections bleakNomura expects June quarter be the weakest one in recent times for the auto sector.,0,Economic Times
,,
"Incremental flows to go into these 3 sectors: Rahul Chadha
If investment demand revives, do we have the companies which can capitalise on that?",0,Economic Times
,,
"From Oct, expect best rally in a long time: IIFL
Real money to be made in pharma and industrials in India, says IIFL Executive VP",0,Economic Times
,,
"Expect H2 to be a little better, says Minda CFO 
We are all geared up for the quick launch of BS-VI, says Minda Group CFO.",0,Economic Times
,,
Fed bytes lift Dalal Street out of Budget slumpLower interest rates in world's largest economy results in more liquidity in global markets.,0,Economic Times
,,
"American trade officials on relationship building visit: USTR“Since India’s election period has now passed, USTR officials are visiting India for relationship-building,” a USTR spokesperson said.",0,Economic Times
,,
"View: Modi and the investing class have different economic worldviewsIf the economy doesn’t appreciably improve, will Modi change his approach? That’s the $5 trillion question.",0,Economic Times
,,
"Government ready to make changes to PMFBY to satisfy farmers, says Ashish BhutaniThe government is concerned about 'lack of satisfaction among farmers' despite spending of Rs 15,000 crore annually on the scheme by the central government and an equal amount by the state governments. ",0,Economic Times
,,
"India receives above normal rains this week, spurring crop plantingMonsoon rains are crucial for farm output and economic growth, as about 55% of India's arable land is rain-fed.",0,Economic Times
,,
"India Inc's FDI down over two times to USD 820 mn in JuneIn May, the Indian firms had invested over USD 1.56 billion in their overseas ventures. ",0,Economic Times
,,
"1,865 defaulters denied export benefits, 1,374 penalised in 3 years for misusing 
export promotion schemesExporters in the “Denied Entity List” were refused further benefits under the export promotion schemes. The denials and penalties were imposed in the April 1, 2016 to March 31, 2019 period.
",0,Economic Times
,,
"With 40,000, TCS is one of US’s biggest job creatorsTCS made a net addition of 12,356 employees in the June quarter, taking total headcount to 4.36 lakh people. ",0,Economic Times
,,
"Over 1k Android apps gain your data even if denied permissionUS researchers have found 1,325 Android apps that were gathering data despite people denying permission.",0,Economic Times
,,
Vinod Dham: Accelerating India's technological capabilitiesGrowing adoption of technology will play a crucial role in India's economic development and security. ,0,Economic Times
,,
"Software robots are taking over many manual processesFor those in finance & accounting, there are hundreds of processes between the moment someone places an order, and till the cash is received.",0,Economic Times
,,
India's latest Google probe sparked by junior antitrust researchersCCI ordered an investigation into Google in April for alleged abuse of its Android platform to hurt rivals.,0,Economic Times
,,
Race is hotting up for the top chair at MindtreeDebashis Chatterjee and Rajeev Mehta are the front-runners to become firm’s CEO.,0,Economic Times
,,
Elon Musk now most tenured CEO in global auto industryMany automakers have new CEOs and only Akio Toyoda of Toyota who joined in 2009 is close behind Musk.,0,Economic Times
,,
"North Korea calls South Korea's F-35 jet purchases 'extremely dangerous action'South Korea took delivery of its first two F-35 jets in March, with more slated to arrive this year. It has agreed to buy a total of 40 of the advanced aircraft, the last to be delivered by 2021.",0,Economic Times
,,
Sri Lanka negotiating new military deal with the US: PMRanil Wickremesinghe said the government was discussing a replacement for the 1995 Status of Forces (SOFA) arrangement that would allow the US military easier access to the strategically placed Indian Ocean island.,0,Economic Times
,,
"Deutsche Bank tells fixed income traders they'll keep jobsThe bank’s move to “resize” debt trading ops won’t lead to dismissals,  fixed-income head Ram Nayak said.",0,Economic Times
,,
Tesla set to ramp up production at Fremont plantThe plan to boost production is a show of confidence by Tesla in the sustainability of demand for the Model 3.,0,Economic Times
,,
"Sanctions on Iran will soon be increased, substantially: Donald TrumpIran has long been secretly 'enriching,' in total violation of the terrible 150 Billion Dollar deal made by John Kerry and the Obama Administration.",0,Economic Times
,,
"Karnataka LIVE: Speaker moves SC, but doesn't get urgent hearingSpeaker Ramesh Kumar moved the Supreme Court, but hasn't got an urgent hearing",0,Economic Times
,,
SC asks Ayodhya mediation panel to submit report by July 18A five judge bench led by CJI Ranjan Gogoi said on Thursday that it wanted to know the progress if any in the mediation. ,0,Economic Times
,,
SC requests Karnataka Speaker to meet rebel MLAs at 6 pm todayThe plea by the dissident Congress and JD(S) MLAs had sought direction for the Speaker to accept their resignation as they wanted to contest fresh elections. ,0,Economic Times
,,
Rebel MLAs’ Supreme Court Plea Makes It all KnottyThe LOGJAM Speaker’s ‘flimsy reasons’ for not accepting resignations may lead to a constitutional impasse according to experts. ,0,Economic Times
,,
"First-time MPs make a beeline for accommodation in DelhiCurrently, the MPs have been provided transit accommodation in Western Court and several state bhavans.",0,Economic Times
,,
"UP law panel readies draft bill to curb mob lynchingThe draft bill, made after studying laws on lynching across the globe,  provides details to prevent lynching and how to exercise authority against a mob.",0,Economic Times
,,
"Traders bet on calendar spread as Nifty moves in a tight rangeA trading combination involving Nifty options is gaining prominence among savvy trading desks of institutional investors.

",0,Economic Times
,,
"Nifty may find support at 5300 levelAs far as stock futures are concerned, we are very near to the highest-ever open interest with 195 crore shares in open interest. ",0,Economic Times
,,
"Seven out of top 10 Asian small-cap funds are IndianAn analysis of 300 Asian small-cap schemes shows DSP BlackRock Micro Cap Fund leading the charge, delivering an 82% return over the past year.",0,Economic Times
,,
"Inflation reflects growth dynamics in India: Christopher WoodIndia has inflation and it reflects the fundamental growth, Christopher Wood, equity strategist, CLSA, said at ET Now Mkt Summit-2010.

",0,Economic Times
,,
"Market may trade in a range, but FIIs seen sold on IndiaMarket may see range-bound trading this week in the absence of any major trigger.",0,Economic Times
,,
"'Don't bank only on price-to-earning ratio'Many experts believe that looking at PE ratio in isolation won’t help investors grasp realities of the mkt and higher valuation may not be the only deciding factor driving mkt. 
",0,Economic Times
,,
Prabhudas Lilladher has a reduce rating on InfosysPrabhudas Lilladher has a ‘reduce’ rating on Infosys Technologies as it feels that the outlook for the company and the software industry is quite weak in the near-term.,0,Economic Times
,,
Fin Crisis: Too late and too little done in USA crisis of $240 trillion cannot be stemmed with bailout packages of $1 to $10 trillion. 2008: Year of global financial crisis | Survive credit crisis | Ghosts of 1929,0,Economic Times
,,
"Weak rupee takes its toll on cos with huge foreign debtThe falling rupee will severely affect the small companies, whereas the big ones will be impacted moderately. Get rid of Debt | Adopt correct investment strategies",0,Economic Times
,,
"Wait for more signals before turning positiveAt the recent low of 12514 points, the Sensex has tested the 12800-12000-pts support zone and has since then attempted a corrective rally.",0,Economic Times
,,
"Six Indian cos among BusinessWeek's top 100 Infotech firmsBusinessWeek's 'The Infotech 100', has ranked Bharti Airtel at the 21st position followed by Reddington India (55th) and RCom (66th). Successful business formula",0,Economic Times
,,
Indian firms slip in global ranking; four move out of Top-50014 firms present in a new list of world's 500 most valued firms together seeing an erosion of about $150 billion in their market value in the first three months of this year.,0,Economic Times
,,
"'Big Daddy' laps up Cipla after Q1 nos beat forecastShares of Cipla inched up on heavy volumes on Friday, after the company’s first quarter earnings beat the consensus estimate.",0,Economic Times
,,
"Old Fox has dream run on Dalal StreetThe Old Fox of Dalal Street has been on a dream run since the past couple of weeks. On Friday, most stocks that he had been steadily building up positions in figured among key gainers of the day.",0,Economic Times
,,
"Cairn India hits record high on BSE amid stake sale talksThe scrip, which was flat for most of the session, shot up in the final hour of trade on the Bombay Stock Exchange to settle with a net gain of 4.36 per cent at Rs 355.45.",0,Economic Times
,,
"Vedanta plunges 5.59% on LSE amid talks to buy Cairn stakeIn the late afternoon session, the scrip was being traded at 20.61 pounds, down by 5.50 per cent on the LSE. Vedanta opened on a positive note, but soon swung into the red.",0,Economic Times
,,
"SBI shares on gaining spree; hit record highIn the past two days, the scrip recorded a gain of over 9 per cent on the BSE, making its investors richer by a whopping Rs 15,000 crore.
",0,Economic Times
,,
FM must rethinkTT Ram Mohan has rightly suggested that the tax-GDP ratio measures structural improvement. The FM must rethink his medium-term debtto-GDP target. ,0,Economic Times
,,
Amalgamate banksFinancial inclusion and financial literacy will be the paramount objective while implementing reforms along with UID project to protect the interests of poor. ,0,Economic Times
,,
"Managing dataThis refers to your edit ‘A welcome quest’ (ET, Oct 8). It is imperative to have a strong database.",0,Economic Times
,,
"Right technologyApropos of ‘The climate conundrum’ (ET, Oct 9), Mukul Sanwal rightly suggests that developing countries should lead in setting the agenda for global technological cooperation.",0,Economic Times
,,
ET SearchRupee#CAD#Economic crisis#Food Bill,0,Economic Times
,,
"After the Oscars, what's next for silent stars of The Artist?The team behind The Artist will have spent the first day of the rest of their lives conforming to the grandest, and most lucrative, of Hollywood traditions. ",0,Economic Times
,,
"Delhi World Book fair: A fair like no otherIt's the World Book fair, which comes around once every two years sprawling across the giant halls of Pragati Maidan.  This is the fair's 20th edition.",0,Economic Times
,,
"Indian gift makes its way to State Department exhibitionAn elephant figurine gifted by the then HM LK Advani to US Secretary of State Colin Powell in 2002, has made its way to the State Department hall.",0,Economic Times
,,
"IMD to use dynamic models for forecastsStatistical models used by IMD will still be used for monsoon forecast, but the ministry of earth sciences is putting more emphasis on dynamic models.",0,Economic Times
,,
"Docs reveal contents of first wire msg between India & EngNewly discovered documents have revealed the first telegraph messages and joy when England was linked for the first time with India on 23 June, 1870. ",0,Economic Times
,,
Worried Amitabh Bachchan fans pray to Lord Shiva for his recoveryHundreds of worried fans of ailing Bollywood megastar Amitabh Bachchan today performed a yagna here to pray for his speedy recovery.,0,Economic Times
,,
